Entry_date_time,Future_price,Transaction_Type,Strike,Type_of_Strike,Days_to_expiry,CE_symbol,CE_entry_price,CE_exit_price,CE_exit_datetime,CE_pnl,PE_symbol,PE_entry_price,PE_exit_price,PE_exit_datetime,PE_pnl,Total_pnl
2019-01-21 10:30:00,27613.7,Buy,27000,ITM,3,BANKNIFTY24JAN1927000CE.NFO,600.0,562.9,2019-01-21 15:20:00,-37.10000000000002,BANKNIFTY24JAN1927000PE.NFO,25.6,28.4,2019-01-21 15:20:00,2.799999999999997,-34.300000000000026
2019-01-21 10:30:00,27613.7,Buy,28200,OTM,3,BANKNIFTY24JAN1928200CE.NFO,14.95,11.9,2019-01-21 11:21:00,-3.049999999999999,BANKNIFTY24JAN1928200PE.NFO,618.45,609.0,2019-01-21 15:20:00,-9.450000000000045,-12.500000000000044
2019-01-22 10:30:00,27509.25,Sell,27500,ATM,2,BANKNIFTY24JAN1927500CE.NFO,140.75,140.75,2019-01-22 15:20:00,0.0,BANKNIFTY24JAN1927500PE.NFO,158.95,146.25,2019-01-22 15:20:00,12.699999999999989,12.699999999999989
2019-01-22 10:30:00,27509.25,Buy,27000,ITM,2,BANKNIFTY24JAN1927000CE.NFO,495.0,502.2,2019-01-22 15:20:00,7.199999999999989,BANKNIFTY24JAN1927000PE.NFO,22.65,21.25,2019-01-22 15:20:00,-1.3999999999999986,5.79999999999999
2019-01-22 10:30:00,27509.25,Buy,28000,OTM,2,BANKNIFTY24JAN1928000CE.NFO,14.25,11.15,2019-01-22 11:14:00,-3.0999999999999996,BANKNIFTY24JAN1928000PE.NFO,521.75,505.0,2019-01-22 15:20:00,-16.75,-19.85
2019-01-23 10:30:00,27542.75,Sell,27500,ATM,1,BANKNIFTY24JAN1927500CE.NFO,118.0,141.6,2019-01-23 12:15:00,-23.599999999999994,BANKNIFTY24JAN1927500PE.NFO,107.0,128.4,2019-01-23 14:29:00,-21.400000000000006,-45.0
2019-01-23 10:30:00,27542.75,Buy,27000,ITM,1,BANKNIFTY24JAN1927000CE.NFO,512.0,403.4,2019-01-23 14:31:00,-108.60000000000002,BANKNIFTY24JAN1927000PE.NFO,9.6,7.65,2019-01-23 11:40:00,-1.9499999999999993,-110.55000000000003
2019-01-23 10:30:00,27542.75,Buy,28000,OTM,1,BANKNIFTY24JAN1928000CE.NFO,4.05,3.1,2019-01-23 14:21:00,-0.9499999999999997,BANKNIFTY24JAN1928000PE.NFO,479.9,710.0,2019-01-23 15:20:00,230.10000000000002,229.15000000000003
2019-01-24 10:30:00,27288.95,Sell,27300,ATM,0,BANKNIFTY24JAN1927300CE.NFO,36.8,44.16,2019-01-24 10:46:00,-7.359999999999999,BANKNIFTY24JAN1927300PE.NFO,95.1,114.11999999999999,2019-01-24 11:18:00,-19.019999999999996,-26.379999999999995
2019-01-24 10:30:00,27288.95,Buy,26800,ITM,0,BANKNIFTY24JAN1926800CE.NFO,430.6,339.15,2019-01-24 13:43:00,-91.45000000000005,BANKNIFTY24JAN1926800PE.NFO,0.5,0.4,2019-01-24 10:51:00,-0.09999999999999998,-91.55000000000004
2019-01-24 10:30:00,27288.95,Buy,27800,OTM,0,BANKNIFTY24JAN1927800CE.NFO,0.25,0.2,2019-01-24 10:31:00,-0.04999999999999999,BANKNIFTY24JAN1927800PE.NFO,549.2,514.0,2019-01-24 15:20:00,-35.200000000000045,-35.25000000000004
2019-01-25 10:30:00,27432.0,Sell,27400,ATM,6,BANKNIFTY31JAN1927400CE.NFO,200.85,100.1,2019-01-25 15:20:00,100.75,BANKNIFTY31JAN1927400PE.NFO,172.55,207.06,2019-01-25 13:44:00,-34.50999999999999,66.24000000000001
2019-01-25 10:30:00,27432.0,Buy,26900,ITM,6,BANKNIFTY31JAN1926900CE.NFO,552.25,433.85,2019-01-25 14:08:00,-118.39999999999998,BANKNIFTY31JAN1926900PE.NFO,38.25,99.55,2019-01-25 15:20:00,61.3,-57.09999999999998
2019-01-25 10:30:00,27432.0,Buy,27900,OTM,6,BANKNIFTY31JAN1927900CE.NFO,32.5,24.8,2019-01-25 12:24:00,-7.699999999999999,BANKNIFTY31JAN1927900PE.NFO,492.0,739.3,2019-01-25 15:20:00,247.29999999999995,239.59999999999997
2019-01-28 10:30:00,26932.75,Sell,26900,ATM,3,BANKNIFTY31JAN1926900CE.NFO,223.4,112.75,2019-01-28 15:20:00,110.65,BANKNIFTY31JAN1926900PE.NFO,195.7,234.83999999999997,2019-01-28 11:15:00,-39.139999999999986,71.51000000000002
2019-01-28 10:30:00,26932.75,Buy,26400,ITM,3,BANKNIFTY31JAN1926400CE.NFO,671.3,490.35,2019-01-28 11:15:00,-180.94999999999993,BANKNIFTY31JAN1926400PE.NFO,49.7,96.2,2019-01-28 15:20:00,46.5,-134.44999999999993
2019-01-28 10:30:00,26932.75,Buy,27400,OTM,3,BANKNIFTY31JAN1927400CE.NFO,54.55,43.55,2019-01-28 11:15:00,-11.0,BANKNIFTY31JAN1927400PE.NFO,511.75,718.9,2019-01-28 15:20:00,207.14999999999998,196.14999999999998
